0,1,2,3,target
2,18,0,2,
3,28,1,0,
2,23,0,0,
4,26,0,0,
2,27,1,0,
0,13,0,0,
1,12,0,2,
4,21,1,0,
4,23,1,0,
4,12,0,0,
3,29,0,2,
0,5,0,1,promegranate drink
3,16,0,1,
2,10,1,0,
3,14,0,0,
2,31,0,1,
3,26,0,1,
2,25,0,2,
2,30,1,1,
3,25,1,2,
4,30,1,0,
4,18,0,0,
0,9,0,1,
1,10,1,2,
3,16,1,1,
3,12,0,1,
4,30,1,1,
2,24,1,1,
4,30,0,1,
1,23,0,0,
3,26,1,0,
0,22,1,2,
0,15,0,0,
2,19,0,0,
1,18,0,1,
4,12,0,1,
4,17,0,0,
0,13,1,0,
1,27,1,0,
1,19,1,1,
4,15,0,2,
4,10,1,2,
4,29,1,1,
4,31,1,2,
3,21,0,2,
1,17,1,1,
1,29,1,1,
1,13,1,0,
4,27,1,1,
3,30,0,1,
2,12,1,2,
4,19,1,0,
1,20,0,1,
2,16,0,0,
2,11,1,0,
3,8,1,2,
1,28,1,0,
2,29,1,2,
0,16,1,1,
1,23,0,1,
2,19,0,1,
4,8,1,1,
1,14,1,0,
2,9,1,1,
0,7,0,2,lime juice
1,23,1,0,
4,17,1,2,
1,28,0,1,
2,18,1,0,
4,8,1,0,
1,27,1,1,
0,8,0,0,
1,24,1,2,
2,24,1,2,
0,30,0,2,
1,26,0,1,
2,22,1,1,
4,20,1,2,
0,9,1,2,
4,25,0,0,
2,22,1,0,
4,28,0,2,
0,21,1,2,
4,28,1,2,
3,29,1,1,
3,16,1,0,
3,14,0,1,
1,18,1,0,
4,24,0,2,
0,17,0,0,
3,25,1,0,
1,18,0,0,
0,7,1,2,lime juice
4,20,0,2,
1,12,0,1,
4,10,1,0,
3,23,0,2,
3,24,1,1,
2,14,1,2,
0,26,1,0,
3,26,1,2,
2,20,0,2,
2,29,0,2,
0,23,1,0,
0,15,1,1,
1,23,1,1,
4,19,1,2,
0,15,0,2,
2,16,1,0,
3,13,0,2,
0,16,1,2,
3,20,0,0,
3,24,0,2,
0,26,0,0,
2,11,0,0,
3,12,1,0,
0,28,0,1,
4,31,1,1,
0,9,1,1,
4,15,1,1,
2,8,0,1,
